HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
ATOH1.H12INVIVO.0.P.B ATOH1 ENSG00000172238 H12INVIVO P B
ATOH1.H12INVIVO.1.SM.B ATOH1 ENSG00000172238 H12INVIVO SM B
HINFP.H12INVIVO.0.P.B HINFP ENSG00000172273 H12INVIVO P B
HINFP.H12INVIVO.1.P.B HINFP ENSG00000172273 H12INVIVO P B
HINFP.H12INVIVO.2.S.B HINFP ENSG00000172273 H12INVIVO S B
ARNT2.H12INVIVO.0.P.B ARNT2 ENSG00000172379 H12INVIVO P B
ARNT2.H12INVIVO.1.P.B ARNT2 ENSG00000172379 H12INVIVO P B
ARNT2.H12INVIVO.2.S.C ARNT2 ENSG00000172379 H12INVIVO S C
ZNF24.H12INVIVO.0.P.B ZNF24 ENSG00000172466 H12INVIVO P B
HSFY1.H12INVIVO.0.S.D HSFY1 ENSG00000172468 H12INVIVO S D
HSFY1.H12INVIVO.1.S.D HSFY1 ENSG00000172468 H12INVIVO S D
HSFY1.H12INVIVO.2.M.D HSFY1 ENSG00000172468 H12INVIVO M D
OVOL1.H12INVIVO.0.SM.D OVOL1 ENSG00000172818 H12INVIVO SM D
RARG.H12INVIVO.0.P.B RARG ENSG00000172819 H12INVIVO P B
RARG.H12INVIVO.1.PSM.A RARG ENSG00000172819 H12INVIVO PSM A
RARG.H12INVIVO.2.SM.B RARG ENSG00000172819 H12INVIVO SM B
RARG.H12INVIVO.3.S.B RARG ENSG00000172819 H12INVIVO S B
SP3.H12INVIVO.0.P.B SP3 ENSG00000172845 H12INVIVO P B
SP3.H12INVIVO.1.S.B SP3 ENSG00000172845 H12INVIVO S B
ERR1.H12INVIVO.0.PSM.A ERR1 ENSG00000173153 H12INVIVO PSM A
RAX2.H12INVIVO.0.S.D RAX2 ENSG00000173976 H12INVIVO S D
EVX2.H12INVIVO.0.SM.D EVX2 ENSG00000174279 H12INVIVO SM D
EVX2.H12INVIVO.1.S.D EVX2 ENSG00000174279 H12INVIVO S D
GLIS1.H12INVIVO.0.P.B GLIS1 ENSG00000174332 H12INVIVO P B
GLIS1.H12INVIVO.1.P.B GLIS1 ENSG00000174332 H12INVIVO P B
GLIS1.H12INVIVO.2.SM.B GLIS1 ENSG00000174332 H12INVIVO SM B
NPAS4.H12INVIVO.0.P.B NPAS4 ENSG00000174576 H12INVIVO P B
NR1D2.H12INVIVO.0.P.B NR1D2 ENSG00000174738 H12INVIVO P B
NR1D2.H12INVIVO.1.SM.B NR1D2 ENSG00000174738 H12INVIVO SM B
ZIC4.H12INVIVO.0.SM.D ZIC4 ENSG00000174963 H12INVIVO SM D
DDIT3.H12INVIVO.0.P.B DDIT3 ENSG00000175197 H12INVIVO P B
ISX.H12INVIVO.0.SM.D ISX ENSG00000175329 H12INVIVO SM D
ISX.H12INVIVO.1.S.D ISX ENSG00000175329 H12INVIVO S D
ISX.H12INVIVO.2.SM.D ISX ENSG00000175329 H12INVIVO SM D
SMAD2.H12INVIVO.0.P.B SMAD2 ENSG00000175387 H12INVIVO P B
SMAD2.H12INVIVO.1.P.B SMAD2 ENSG00000175387 H12INVIVO P B
FOSL1.H12INVIVO.0.P.B FOSL1 ENSG00000175592 H12INVIVO P B
ZNF77.H12INVIVO.0.P.C ZNF77 ENSG00000175691 H12INVIVO P C
ETV4.H12INVIVO.0.P.B ETV4 ENSG00000175832 H12INVIVO P B
ETV4.H12INVIVO.1.SM.B ETV4 ENSG00000175832 H12INVIVO SM B
HSF5.H12INVIVO.0.M.D HSF5 ENSG00000176160 H12INVIVO M D
HSF5.H12INVIVO.1.S.D HSF5 ENSG00000176160 H12INVIVO S D
FOXG1.H12INVIVO.0.PSM.A FOXG1 ENSG00000176165 H12INVIVO PSM A
FOXL1.H12INVIVO.0.S.D FOXL1 ENSG00000176678 H12INVIVO S D
FOXC2.H12INVIVO.0.SM.D FOXC2 ENSG00000176692 H12INVIVO SM D
IRX5.H12INVIVO.0.M.D IRX5 ENSG00000176842 H12INVIVO M D
IRX5.H12INVIVO.1.SM.D IRX5 ENSG00000176842 H12INVIVO SM D
SOX11.H12INVIVO.0.P.B SOX11 ENSG00000176887 H12INVIVO P B
SOX11.H12INVIVO.1.S.B SOX11 ENSG00000176887 H12INVIVO S B
HIC1.H12INVIVO.0.PSM.A HIC1 ENSG00000177374 H12INVIVO PSM A
TGIF1.H12INVIVO.0.PSM.A TGIF1 ENSG00000177426 H12INVIVO PSM A
TGIF1.H12INVIVO.1.S.B TGIF1 ENSG00000177426 H12INVIVO S B
NR2C2.H12INVIVO.0.SM.B NR2C2 ENSG00000177463 H12INVIVO SM B
NR2C2.H12INVIVO.1.PS.A NR2C2 ENSG00000177463 H12INVIVO PS A
OLIG3.H12INVIVO.0.SM.D OLIG3 ENSG00000177468 H12INVIVO SM D
KAISO.H12INVIVO.0.P.B KAISO ENSG00000177485 H12INVIVO P B
KAISO.H12INVIVO.1.P.B KAISO ENSG00000177485 H12INVIVO P B
IRX3.H12INVIVO.0.M.D IRX3 ENSG00000177508 H12INVIVO M D
IRX3.H12INVIVO.1.S.D IRX3 ENSG00000177508 H12INVIVO S D
IRX3.H12INVIVO.2.S.D IRX3 ENSG00000177508 H12INVIVO S D
HEN2.H12INVIVO.0.SM.D HEN2 ENSG00000177551 H12INVIVO SM D
JUN.H12INVIVO.0.P.B JUN ENSG00000177606 H12INVIVO P B
JUN.H12INVIVO.1.S.C JUN ENSG00000177606 H12INVIVO S C
SOX12.H12INVIVO.0.SM.D SOX12 ENSG00000177732 H12INVIVO SM D
NGN2.H12INVIVO.0.P.B NGN2 ENSG00000178403 H12INVIVO P B
NGN2.H12INVIVO.1.SM.B NGN2 ENSG00000178403 H12INVIVO SM B
MAF.H12INVIVO.0.PM.A MAF ENSG00000178573 H12INVIVO PM A
MAF.H12INVIVO.1.PSM.A MAF ENSG00000178573 H12INVIVO PSM A
FOXE1.H12INVIVO.0.SM.D FOXE1 ENSG00000178919 H12INVIVO SM D
FOXE1.H12INVIVO.1.S.D FOXE1 ENSG00000178919 H12INVIVO S D
ZFP42.H12INVIVO.0.PM.A ZFP42 ENSG00000179059 H12INVIVO PM A
HES7.H12INVIVO.0.S.D HES7 ENSG00000179111 H12INVIVO S D
MEIS3.H12INVIVO.0.SM.D MEIS3 ENSG00000105419 H12INVIVO SM D
MEIS3.H12INVIVO.1.S.D MEIS3 ENSG00000105419 H12INVIVO S D
GATA2.H12INVIVO.0.PSM.A GATA2 ENSG00000179348 H12INVIVO PSM A
GATA2.H12INVIVO.1.P.B GATA2 ENSG00000179348 H12INVIVO P B
EGR3.H12INVIVO.0.PSM.A EGR3 ENSG00000179388 H12INVIVO PSM A
LBX2.H12INVIVO.0.S.D LBX2 ENSG00000179528 H12INVIVO S D
LBX2.H12INVIVO.1.S.D LBX2 ENSG00000179528 H12INVIVO S D
LBX2.H12INVIVO.2.M.D LBX2 ENSG00000179528 H12INVIVO M D
ALX1.H12INVIVO.0.SM.D ALX1 ENSG00000180318 H12INVIVO SM D
GSX2.H12INVIVO.0.SM.D GSX2 ENSG00000180613 H12INVIVO SM D
ZFP3.H12INVIVO.0.P.C ZFP3 ENSG00000180787 H12INVIVO P C
ZFP82.H12INVIVO.0.P.C ZFP82 ENSG00000181007 H12INVIVO P C
SOX2.H12INVIVO.0.P.B SOX2 ENSG00000181449 H12INVIVO P B
SOX2.H12INVIVO.1.P.B SOX2 ENSG00000181449 H12INVIVO P B
SOX2.H12INVIVO.2.S.B SOX2 ENSG00000181449 H12INVIVO S B
SOX2.H12INVIVO.3.S.B SOX2 ENSG00000181449 H12INVIVO S B
ZBTB2.H12INVIVO.0.SM.D ZBTB2 ENSG00000181472 H12INVIVO SM D
ZFP41.H12INVIVO.0.SM.D ZFP41 ENSG00000181638 H12INVIVO SM D
RFX7.H12INVIVO.0.SM.D RFX7 ENSG00000181827 H12INVIVO SM D
NGN1.H12INVIVO.0.SM.D NGN1 ENSG00000181965 H12INVIVO SM D
SATB1.H12INVIVO.0.P.B SATB1 ENSG00000182568 H12INVIVO P B
SATB1.H12INVIVO.1.P.B SATB1 ENSG00000182568 H12INVIVO P B
MAFA.H12INVIVO.0.PSM.A MAFA ENSG00000182759 H12INVIVO PSM A
MAFA.H12INVIVO.1.M.C MAFA ENSG00000182759 H12INVIVO M C
SOX1.H12INVIVO.0.S.D SOX1 ENSG00000182968 H12INVIVO S D
SOX1.H12INVIVO.1.S.D SOX1 ENSG00000182968 H12INVIVO S D
FIGLA.H12INVIVO.0.SM.D FIGLA ENSG00000183733 H12INVIVO SM D
ASCL2.H12INVIVO.0.PSM.A ASCL2 ENSG00000183734 H12INVIVO PSM A
FOXL2.H12INVIVO.0.PSM.A FOXL2 ENSG00000183770 H12INVIVO PSM A
ELK3.H12INVIVO.0.PSM.A ELK3 ENSG00000111145 H12INVIVO PSM A
TBX1.H12INVIVO.0.S.D TBX1 ENSG00000184058 H12INVIVO S D
OLIG1.H12INVIVO.0.S.D OLIG1 ENSG00000184221 H12INVIVO S D
SIX6.H12INVIVO.0.SM.D SIX6 ENSG00000184302 H12INVIVO SM D
FOXO4.H12INVIVO.0.SM.D FOXO4 ENSG00000184481 H12INVIVO SM D
ZFP1.H12INVIVO.0.PSM.A ZFP1 ENSG00000184517 H12INVIVO PSM A
SRY.H12INVIVO.0.S.D SRY ENSG00000184895 H12INVIVO S D
SRY.H12INVIVO.1.S.D SRY ENSG00000184895 H12INVIVO S D
WT1.H12INVIVO.0.P.B WT1 ENSG00000184937 H12INVIVO P B
WT1.H12INVIVO.1.P.B WT1 ENSG00000184937 H12INVIVO P B
ZFP90.H12INVIVO.0.P.C ZFP90 ENSG00000184939 H12INVIVO P C
ZFP90.H12INVIVO.1.P.C ZFP90 ENSG00000184939 H12INVIVO P C
RFX6.H12INVIVO.0.P.C RFX6 ENSG00000185002 H12INVIVO P C
MAFF.H12INVIVO.0.PSM.A MAFF ENSG00000185022 H12INVIVO PSM A
MAFF.H12INVIVO.1.PSM.A MAFF ENSG00000185022 H12INVIVO PSM A
MIXL1.H12INVIVO.0.SM.D MIXL1 ENSG00000185155 H12INVIVO SM D
MIXL1.H12INVIVO.1.S.D MIXL1 ENSG00000185155 H12INVIVO S D
ZNF74.H12INVIVO.0.P.C ZNF74 ENSG00000185252 H12INVIVO P C
SP1.H12INVIVO.0.P.B SP1 ENSG00000185591 H12INVIVO P B
SP1.H12INVIVO.1.SM.B SP1 ENSG00000185591 H12INVIVO SM B
SP1.H12INVIVO.2.P.B SP1 ENSG00000185591 H12INVIVO P B
PBX1.H12INVIVO.0.P.B PBX1 ENSG00000185630 H12INVIVO P B
PBX1.H12INVIVO.1.P.B PBX1 ENSG00000185630 H12INVIVO P B
PBX1.H12INVIVO.2.P.B PBX1 ENSG00000185630 H12INVIVO P B
SNAI3.H12INVIVO.0.S.D SNAI3 ENSG00000185669 H12INVIVO S D
ARGFX.H12INVIVO.0.SM.D ARGFX ENSG00000186103 H12INVIVO SM D
ZBTB6.H12INVIVO.0.P.B ZBTB6 ENSG00000186130 H12INVIVO P B
RXRA.H12INVIVO.0.PS.A RXRA ENSG00000186350 H12INVIVO PS A
RXRA.H12INVIVO.1.S.C RXRA ENSG00000186350 H12INVIVO S C
RXRA.H12INVIVO.2.SM.B RXRA ENSG00000186350 H12INVIVO SM B
RXRA.H12INVIVO.3.P.B RXRA ENSG00000186350 H12INVIVO P B
MYT1L.H12INVIVO.0.P.C MYT1L ENSG00000186487 H12INVIVO P C
FOXD2.H12INVIVO.0.S.D FOXD2 ENSG00000186564 H12INVIVO S D
FOXD2.H12INVIVO.1.SM.D FOXD2 ENSG00000186564 H12INVIVO SM D
ZFP91.H12INVIVO.0.P.C ZFP91 ENSG00000186660 H12INVIVO P C
PPARA.H12INVIVO.0.P.B PPARA ENSG00000186951 H12INVIVO P B
PPARA.H12INVIVO.1.P.B PPARA ENSG00000186951 H12INVIVO P B
TEAD1.H12INVIVO.0.PSM.A TEAD1 ENSG00000187079 H12INVIVO PSM A
TEAD1.H12INVIVO.1.P.C TEAD1 ENSG00000187079 H12INVIVO P C
TEAD1.H12INVIVO.2.S.C TEAD1 ENSG00000187079 H12INVIVO S C
MITF.H12INVIVO.0.P.B MITF ENSG00000187098 H12INVIVO P B
FOXD3.H12INVIVO.0.P.C FOXD3 ENSG00000187140 H12INVIVO P C
FOXD3.H12INVIVO.1.S.B FOXD3 ENSG00000187140 H12INVIVO S B
ZFP69.H12INVIVO.0.P.C ZFP69 ENSG00000187815 H12INVIVO P C
MESP2.H12INVIVO.0.S.D MESP2 ENSG00000188095 H12INVIVO S D
HMX3.H12INVIVO.0.S.D HMX3 ENSG00000188620 H12INVIVO S D
SKOR1.H12INVIVO.0.M.D SKOR1 ENSG00000188779 H12INVIVO M D
SKOR1.H12INVIVO.1.S.D SKOR1 ENSG00000188779 H12INVIVO S D
HMX2.H12INVIVO.0.SM.D HMX2 ENSG00000188816 H12INVIVO SM D
FOXR2.H12INVIVO.0.M.D FOXR2 ENSG00000189299 H12INVIVO M D
PAX5.H12INVIVO.0.PS.A PAX5 ENSG00000196092 H12INVIVO PS A
ZNF79.H12INVIVO.0.P.C ZNF79 ENSG00000196152 H12INVIVO P C
ZNF34.H12INVIVO.0.P.C ZNF34 ENSG00000196378 H12INVIVO P C
ITF2.H12INVIVO.0.S.B ITF2 ENSG00000196628 H12INVIVO S B
ITF2.H12INVIVO.1.PSM.A ITF2 ENSG00000196628 H12INVIVO PSM A
ZFP28.H12INVIVO.0.P.B ZFP28 ENSG00000196867 H12INVIVO P B
MAFG.H12INVIVO.0.PSM.A MAFG ENSG00000197063 H12INVIVO PSM A
MAFG.H12INVIVO.1.PSM.A MAFG ENSG00000197063 H12INVIVO PSM A
DMBX1.H12INVIVO.0.SM.D DMBX1 ENSG00000197587 H12INVIVO SM D
ZNF81.H12INVIVO.0.P.C ZNF81 ENSG00000197779 H12INVIVO P C
ZNF44.H12INVIVO.0.P.C ZNF44 ENSG00000197857 H12INVIVO P C
TEAD4.H12INVIVO.0.PS.A TEAD4 ENSG00000197905 H12INVIVO PS A
TEAD4.H12INVIVO.1.P.B TEAD4 ENSG00000197905 H12INVIVO P B
TFDP1.H12INVIVO.0.P.B TFDP1 ENSG00000198176 H12INVIVO P B
ZNF26.H12INVIVO.0.P.B ZNF26 ENSG00000198393 H12INVIVO P B
ZNF26.H12INVIVO.1.P.B ZNF26 ENSG00000198393 H12INVIVO P B
MAFK.H12INVIVO.0.PS.A MAFK ENSG00000198517 H12INVIVO PS A
MAFK.H12INVIVO.1.P.B MAFK ENSG00000198517 H12INVIVO P B
MAFK.H12INVIVO.2.S.B MAFK ENSG00000198517 H12INVIVO S B
ZNF28.H12INVIVO.0.P.C ZNF28 ENSG00000198538 H12INVIVO P C
PAX9.H12INVIVO.0.SM.D PAX9 ENSG00000198807 H12INVIVO SM D
FOXJ3.H12INVIVO.0.SM.D FOXJ3 ENSG00000198815 H12INVIVO SM D
RORB.H12INVIVO.0.SM.D RORB ENSG00000198963 H12INVIVO SM D
SOX18.H12INVIVO.0.SM.D SOX18 ENSG00000203883 H12INVIVO SM D
MAFB.H12INVIVO.0.PS.A MAFB ENSG00000204103 H12INVIVO PS A
MAFB.H12INVIVO.1.P.B MAFB ENSG00000204103 H12INVIVO P B
SP5.H12INVIVO.0.P.B SP5 ENSG00000204335 H12INVIVO P B
SP5.H12INVIVO.1.P.B SP5 ENSG00000204335 H12INVIVO P B
DPRX.H12INVIVO.0.SM.D DPRX ENSG00000204595 H12INVIVO SM D
TZAP.H12INVIVO.0.P.B TZAP ENSG00000204859 H12INVIVO P B
E2F4.H12INVIVO.0.P.B E2F4 ENSG00000205250 H12INVIVO P B
E2F4.H12INVIVO.1.P.B E2F4 ENSG00000205250 H12INVIVO P B
E2F4.H12INVIVO.2.S.B E2F4 ENSG00000205250 H12INVIVO S B
OLIG2.H12INVIVO.0.P.B OLIG2 ENSG00000205927 H12INVIVO P B
OLIG2.H12INVIVO.1.P.B OLIG2 ENSG00000205927 H12INVIVO P B
OLIG2.H12INVIVO.2.SM.B OLIG2 ENSG00000205927 H12INVIVO SM B
ZNF90.H12INVIVO.0.P.C ZNF90 ENSG00000213988 H12INVIVO P C
MEF2B.H12INVIVO.0.PS.A MEF2B ENSG00000213999 H12INVIVO PS A
MEF2B.H12INVIVO.1.SM.B MEF2B ENSG00000213999 H12INVIVO SM B
NOTO.H12INVIVO.0.SM.D NOTO ENSG00000214513 H12INVIVO SM D
SCRT2.H12INVIVO.0.PSM.A SCRT2 ENSG00000215397 H12INVIVO PSM A
SKOR2.H12INVIVO.0.SM.D SKOR2 ENSG00000215474 H12INVIVO SM D
HMX1.H12INVIVO.0.SM.D HMX1 ENSG00000215612 H12INVIVO SM D
SP9.H12INVIVO.0.P.B SP9 ENSG00000217236 H12INVIVO P B
SP9.H12INVIVO.1.S.C SP9 ENSG00000217236 H12INVIVO S C
COE2.H12INVIVO.0.P.B COE2 ENSG00000221818 H12INVIVO P B
CEBPD.H12INVIVO.0.P.B CEBPD ENSG00000221869 H12INVIVO P B
CEBPD.H12INVIVO.1.SM.B CEBPD ENSG00000221869 H12INVIVO SM B
ZFP57.H12INVIVO.0.P.B ZFP57 ENSG00000204644 H12INVIVO P B
RXRB.H12INVIVO.0.P.C RXRB ENSG00000204231 H12INVIVO P C
RXRB.H12INVIVO.1.SM.B RXRB ENSG00000204231 H12INVIVO SM B
RXRB.H12INVIVO.2.PS.A RXRB ENSG00000204231 H12INVIVO PS A
PBX2.H12INVIVO.0.P.B PBX2 ENSG00000204304 H12INVIVO P B
PBX2.H12INVIVO.1.P.C PBX2 ENSG00000204304 H12INVIVO P C
PBX2.H12INVIVO.2.P.C PBX2 ENSG00000204304 H12INVIVO P C
ATF6B.H12INVIVO.0.SM.D ATF6B EENSG00000213676 H12INVIVO SM D
ZBED5.H12INVIVO.0.P.C ZBED5 ENSG00000236287 H12INVIVO P C
ETV5.H12INVIVO.0.PS.A ETV5 ENSG00000244405 H12INVIVO PS A
ETV5.H12INVIVO.1.PM.A ETV5 ENSG00000244405 H12INVIVO PM A
CEBPA.H12INVIVO.0.P.B CEBPA ENSG00000245848 H12INVIVO P B
GLI4.H12INVIVO.0.P.C GLI4 ENSG00000250571 H12INVIVO P C
ZNF10.H12INVIVO.0.P.C ZNF10 ENSG00000256223 H12INVIVO P C
CUX1.H12INVIVO.0.PM.A CUX1 ENSG00000257923 H12INVIVO PM A
CUX1.H12INVIVO.1.S.B CUX1 ENSG00000257923 H12INVIVO S B
CUX1.H12INVIVO.2.P.C CUX1 ENSG00000257923 H12INVIVO P C
DUXA.H12INVIVO.0.SM.D DUXA ENSG00000258873 H12INVIVO SM D
KLF14.H12INVIVO.0.PSM.A KLF14 ENSG00000266265 H12INVIVO PSM A
KLF14.H12INVIVO.1.P.C KLF14 ENSG00000266265 H12INVIVO P C
SPIB.H12INVIVO.0.P.B SPIB ENSG00000269404 H12INVIVO P B
SPIB.H12INVIVO.1.S.C SPIB ENSG00000269404 H12INVIVO S C
SPIB.H12INVIVO.2.SM.B SPIB ENSG00000269404 H12INVIVO SM B
KMT2B.H12INVIVO.0.P.B KMT2B ENSG00000272333 H12INVIVO P B
HES5.H12INVIVO.0.SM.D HES5 ENSG00000197921 H12INVIVO SM D
LHX1.H12INVIVO.0.S.D LHX1 ENSG00000273706 H12INVIVO S D
LHX1.H12INVIVO.1.M.D LHX1 ENSG00000273706 H12INVIVO M D
GLIS2.H12INVIVO.0.SM.D GLIS2 ENSG00000126603 H12INVIVO SM D
ZNF2.H12INVIVO.0.P.B ZNF2 ENSG00000275111 H12INVIVO P B
KLF13.H12INVIVO.0.PSM.A KLF13 ENSG00000169926 H12INVIVO PSM A
KLF13.H12INVIVO.1.P.C KLF13 ENSG00000169926 H12INVIVO P C
HNF1B.H12INVIVO.0.PS.A HNF1B ENSG00000275410 H12INVIVO PS A
HNF1B.H12INVIVO.1.P.D HNF1B ENSG00000275410 H12INVIVO P D
IRF7.H12INVIVO.0.S.D IRF7 ENSG00000185507 H12INVIVO S D
IRF7.H12INVIVO.1.SM.D IRF7 ENSG00000185507 H12INVIVO SM D
MTF1.H12INVIVO.0.SM.D MTF1 ENSG00000188786 H12INVIVO SM D
CPEB1.H12INVIVO.0.S.D CPEB1 ENSG00000214575 H12INVIVO S D
CPEB1.H12INVIVO.1.S.D CPEB1 ENSG00000214575 H12INVIVO S D
ZNF85.H12INVIVO.0.P.B ZNF85 ENSG00000105750 H12INVIVO P B
ZNF85.H12INVIVO.1.P.B ZNF85 ENSG00000105750 H12INVIVO P B
ZNF8.H12INVIVO.0.P.C ZNF8 ENSG00000278129 H12INVIVO P C
ZNF8.H12INVIVO.1.P.B ZNF8 ENSG00000278129 H12INVIVO P B
PROP1.H12INVIVO.0.PSM.A PROP1 ENSG00000175325 H12INVIVO PSM A
PROP1.H12INVIVO.1.P.C PROP1 ENSG00000175325 H12INVIVO P C
ZNF35.H12INVIVO.0.P.C ZNF35 ENSG00000169981 H12INVIVO P C
ZNF35.H12INVIVO.1.P.C ZNF35 ENSG00000169981 H12INVIVO P C
FOXO6.H12INVIVO.0.S.D FOXO6 ENSG00000204060 H12INVIVO S D
E2F2.H12INVIVO.0.S.D E2F2 ENSG00000007968 H12INVIVO S D
DUX4.H12INVIVO.0.P.B DUX4 ENSG00000260596 H12INVIVO P B
FLI1.H12INVIVO.0.PSM.A FLI1 ENSG00000151702 H12INVIVO PSM A
FLI1.H12INVIVO.1.P.B FLI1 ENSG00000151702 H12INVIVO P B
HSF1.H12INVIVO.0.PSM.A HSF1 ENSG00000185122 H12INVIVO PSM A
HSF1.H12INVIVO.1.P.B HSF1 ENSG00000185122 H12INVIVO P B
HSF1.H12INVIVO.2.P.B HSF1 ENSG00000185122 H12INVIVO P B
SCRT1.H12INVIVO.0.PSM.A SCRT1 ENSG00000261678 H12INVIVO PSM A
IRF9.H12INVIVO.0.PSM.A IRF9 ENSG00000213928 H12INVIVO PSM A
GATA4.H12INVIVO.0.PSM.A GATA4 ENSG00000136574 H12INVIVO PSM A
SOX7.H12INVIVO.0.PS.A SOX7 ENSG00000171056 H12INVIVO PS A
SOX7.H12INVIVO.1.SM.B SOX7 ENSG00000171056 H12INVIVO SM B
NRL.H12INVIVO.0.SM.D NRL ENSG00000129535 H12INVIVO SM D
NRL.H12INVIVO.1.SM.D NRL ENSG00000129535 H12INVIVO SM D
RFX1.H12INVIVO.0.PM.A RFX1 ENSG00000132005 H12INVIVO PM A
RFX1.H12INVIVO.1.PSM.A RFX1 ENSG00000132005 H12INVIVO PSM A
RFX1.H12INVIVO.2.S.C RFX1 ENSG00000132005 H12INVIVO S C
HOMEZ.H12INVIVO.0.S.D HOMEZ ENSG00000290292 H12INVIVO S D
MEF2D.H12INVIVO.0.PS.A MEF2D ENSG00000116604 H12INVIVO PS A
MEF2D.H12INVIVO.1.M.C MEF2D ENSG00000116604 H12INVIVO M C
SP7.H12INVIVO.0.P.B SP7 ENSG00000170374 H12INVIVO P B
DLX1.H12INVIVO.0.S.B DLX1 ENSG00000144355 H12INVIVO S B
DLX1.H12INVIVO.1.PSM.A DLX1 ENSG00000144355 H12INVIVO PSM A
PRDM9.H12INVIVO.0.P.B PRDM9 ENSG00000164256 H12INVIVO P B
TFE3.H12INVIVO.0.PSM.A TFE3 ENSG00000068323 H12INVIVO PSM A
ZBED1.H12INVIVO.0.S.D ZBED1 ENSG00000214717 H12INVIVO S D
SHOX.H12INVIVO.0.SM.D SHOX ENSG00000185960 H12INVIVO SM D
SHOX.H12INVIVO.1.S.D SHOX ENSG00000185960 H12INVIVO S D
ANDR.H12INVIVO.0.P.B ANDR ENSG00000169083 H12INVIVO P B
ANDR.H12INVIVO.1.S.C ANDR ENSG00000169083 H12INVIVO S C
ANDR.H12INVIVO.2.P.B ANDR ENSG00000169083 H12INVIVO P B
AP2A.H12INVIVO.0.PSM.A AP2A ENSG00000137203 H12INVIVO PSM A
AP2B.H12INVIVO.0.SM.D AP2B ENSG00000008196 H12INVIVO SM D
AP2C.H12INVIVO.0.PSM.A AP2C ENSG00000087510 H12INVIVO PSM A
ARI1A.H12INVIVO.0.P.C ARI1A ENSG00000117713 H12INVIVO P C
BARH1.H12INVIVO.0.SM.D BARH1 ENSG00000125492 H12INVIVO SM D
BARH1.H12INVIVO.1.S.D BARH1 ENSG00000125492 H12INVIVO S D
BARH2.H12INVIVO.0.SM.D BARH2 ENSG00000143032 H12INVIVO SM D
BARH2.H12INVIVO.1.S.D BARH2 ENSG00000143032 H12INVIVO S D
BARH2.H12INVIVO.2.S.D BARH2 ENSG00000143032 H12INVIVO S D
BHA15.H12INVIVO.0.P.B BHA15 ENSG00000180535 H12INVIVO P B
BHA15.H12INVIVO.1.SM.B BHA15 ENSG00000180535 H12INVIVO SM B
BHE22.H12INVIVO.0.SM.D BHE22 ENSG00000180828 H12INVIVO SM D
BHE23.H12INVIVO.0.SM.D BHE23 ENSG00000125533 H12INVIVO SM D
BHE40.H12INVIVO.0.PSM.A BHE40 ENSG00000134107 H12INVIVO PSM A
BHE40.H12INVIVO.1.S.C BHE40 ENSG00000134107 H12INVIVO S C
BHE41.H12INVIVO.0.PSM.A BHE41 ENSG00000123095 H12INVIVO PSM A
BSH.H12INVIVO.0.SM.D BSH ENSG00000188909 H12INVIVO SM D
COT1.H12INVIVO.0.PSM.A COT1 ENSG00000175745 H12INVIVO PSM A
COT1.H12INVIVO.1.PSM.A COT1 ENSG00000175745 H12INVIVO PSM A
COT2.H12INVIVO.0.P.B COT2 ENSG00000185551 H12INVIVO P B
COT2.H12INVIVO.1.P.B COT2 ENSG00000185551 H12INVIVO P B
CR3L1.H12INVIVO.0.PSM.A CR3L1 ENSG00000157613 H12INVIVO PSM A
CR3L2.H12INVIVO.0.PS.A CR3L2 ENSG00000182158 H12INVIVO PS A
CR3L4.H12INVIVO.0.M.D CR3L4 ENSG00000143578 H12INVIVO M D
CR3L4.H12INVIVO.1.S.D CR3L4 ENSG00000143578 H12INVIVO S D
DMRTA.H12INVIVO.0.SM.D DMRTA ENSG00000176399 H12INVIVO SM D
DMRTB.H12INVIVO.0.P.C DMRTB ENSG00000143006 H12INVIVO P C
DMRTD.H12INVIVO.0.SM.D DMRTD ENSG00000142025 H12INVIVO SM D
DMTA2.H12INVIVO.0.SM.D DMTA2 ENSG00000142700 H12INVIVO SM D
ERR3.H12INVIVO.0.PSM.A ERR3 ENSG00000196482 H12INVIVO PSM A
FER3L.H12INVIVO.0.SM.D FER3L ENSG00000146618 H12INVIVO SM D
GCR.H12INVIVO.0.PS.A GCR ENSG00000113580 H12INVIVO PS A
GCR.H12INVIVO.1.S.B GCR ENSG00000113580 H12INVIVO S B
HMBX1.H12INVIVO.0.PSM.A HMBX1 ENSG00000147421 H12INVIVO PSM A
HME1.H12INVIVO.0.PSM.A HME1 ENSG00000163064 H12INVIVO PSM A
HME2.H12INVIVO.0.SM.D HME2 ENSG00000164778 H12INVIVO SM D
HXA10.H12INVIVO.0.S.D HXA10 ENSG00000253293 H12INVIVO S D
HXA10.H12INVIVO.1.M.D HXA10 ENSG00000253293 H12INVIVO M D
HXA11.H12INVIVO.0.PS.A HXA11 ENSG00000005073 H12INVIVO PS A
HXA11.H12INVIVO.1.SM.B HXA11 ENSG00000005073 H12INVIVO SM B
HXA13.H12INVIVO.0.P.B HXA13 ENSG00000106031 H12INVIVO P B
HXA13.H12INVIVO.1.SM.B HXA13 ENSG00000106031 H12INVIVO SM B
HXA1.H12INVIVO.0.SM.D HXA1 ENSG00000105991 H12INVIVO SM D
HXA1.H12INVIVO.1.S.D HXA1 ENSG00000105991 H12INVIVO S D
