HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
ESR1.H12INVIVO.0.P.B ESR1 ENSG00000091831 H12INVIVO P B
ESR1.H12INVIVO.1.P.B ESR1 ENSG00000091831 H12INVIVO P B
CEBPE.H12INVIVO.0.P.B CEBPE ENSG00000092067 H12INVIVO P B
CEBPE.H12INVIVO.1.SM.B CEBPE ENSG00000092067 H12INVIVO SM B
TBX15.H12INVIVO.0.SM.D TBX15 ENSG00000092607 H12INVIVO SM D
CREM.H12INVIVO.0.PSM.A CREM ENSG00000095794 H12INVIVO PSM A
CREM.H12INVIVO.1.P.C CREM ENSG00000095794 H12INVIVO P C
MZF1.H12INVIVO.0.P.B MZF1 ENSG00000099326 H12INVIVO P B
PATZ1.H12INVIVO.0.P.B PATZ1 ENSG00000100105 H12INVIVO P B
PATZ1.H12INVIVO.1.P.C PATZ1 ENSG00000100105 H12INVIVO P C
SOX10.H12INVIVO.0.PSM.A SOX10 ENSG00000100146 H12INVIVO PSM A
SOX10.H12INVIVO.1.PSM.A SOX10 ENSG00000100146 H12INVIVO PSM A
SOX10.H12INVIVO.2.S.C SOX10 ENSG00000100146 H12INVIVO S C
XBP1.H12INVIVO.0.PS.A XBP1 ENSG00000100219 H12INVIVO PS A
XBP1.H12INVIVO.1.M.B XBP1 ENSG00000100219 H12INVIVO M B
SIX4.H12INVIVO.0.P.B SIX4 ENSG00000100625 H12INVIVO P B
SIX4.H12INVIVO.1.M.C SIX4 ENSG00000100625 H12INVIVO M C
HIF1A.H12INVIVO.0.P.B HIF1A ENSG00000100644 H12INVIVO P B
HIF1A.H12INVIVO.1.P.B HIF1A ENSG00000100644 H12INVIVO P B
VSX1.H12INVIVO.0.SM.D VSX1 ENSG00000100987 H12INVIVO SM D
VSX1.H12INVIVO.1.SM.D VSX1 ENSG00000100987 H12INVIVO SM D
HNF4A.H12INVIVO.0.PSM.A HNF4A ENSG00000101076 H12INVIVO PSM A
SALL4.H12INVIVO.0.P.B SALL4 ENSG00000101115 H12INVIVO P B
GMEB2.H12INVIVO.0.P.C GMEB2 ENSG00000101216 H12INVIVO P C
GMEB2.H12INVIVO.1.P.C GMEB2 ENSG00000101216 H12INVIVO P C
GMEB2.H12INVIVO.2.SM.B GMEB2 ENSG00000101216 H12INVIVO SM B
E2F1.H12INVIVO.0.P.B E2F1 ENSG00000101412 H12INVIVO P B
E2F1.H12INVIVO.1.S.B E2F1 ENSG00000101412 H12INVIVO S B
ELF4.H12INVIVO.0.PS.A ELF4 ENSG00000102034 H12INVIVO PS A
ELF4.H12INVIVO.1.M.B ELF4 ENSG00000102034 H12INVIVO M B
GATA1.H12INVIVO.0.P.B GATA1 ENSG00000102145 H12INVIVO P B
GATA1.H12INVIVO.1.PSM.A GATA1 ENSG00000102145 H12INVIVO PSM A
KLF8.H12INVIVO.0.P.C KLF8 ENSG00000102349 H12INVIVO P C
KLF8.H12INVIVO.1.P.C KLF8 ENSG00000102349 H12INVIVO P C
KLF5.H12INVIVO.0.PM.A KLF5 ENSG00000102554 H12INVIVO PM A
HSF4.H12INVIVO.0.SM.D HSF4 ENSG00000102878 H12INVIVO SM D
NFAT5.H12INVIVO.0.SM.B NFAT5 ENSG00000102908 H12INVIVO SM B
NFAT5.H12INVIVO.1.PS.A NFAT5 ENSG00000102908 H12INVIVO PS A
CTCF.H12INVIVO.0.P.B CTCF ENSG00000102974 H12INVIVO P B
