SYMBOL ENSEMBL HOCOID
Tbr1 ENSMUSG00000035033 TBR1.0.PS.A
Tbx1 ENSMUSG00000009097 TBX1.0.S.D
Tbx15 ENSMUSG00000027868 TBX15.0.SM.D
Tbx18 ENSMUSG00000032419 TBX18.0.M.D
Tbx19 ENSMUSG00000026572 TBX19.0.PS.A
Tbx19 ENSMUSG00000026572 TBX19.1.SM.B
Tbx2 ENSMUSG00000000093 TBX2.0.SM.D
Tbx20 ENSMUSG00000031965 TBX20.0.P.C
Tbx20 ENSMUSG00000031965 TBX20.1.M.C
Tbx20 ENSMUSG00000031965 TBX20.2.SM.B
Tbx21 ENSMUSG00000001444 TBX21.0.PSM.A
Tbx3 ENSMUSG00000018604 TBX3.0.PSM.A
Tbx4 ENSMUSG00000000094 TBX4.0.PS.A
Tbx4 ENSMUSG00000000094 TBX4.1.S.B
Tbx5 ENSMUSG00000018263 TBX5.0.PS.A
Tbx5 ENSMUSG00000018263 TBX5.1.P.B
Tbx5 ENSMUSG00000018263 TBX5.2.S.B
Tbx6 ENSMUSG00000030699 TBX6.0.PSM.A
T ENSMUSG00000062327 TBXT.0.PS.A
T ENSMUSG00000062327 TBXT.1.PSM.A
Tcf21 ENSMUSG00000045680 TCF21.0.PS.A
Tcf21 ENSMUSG00000045680 TCF21.1.SM.B
Tcf7 ENSMUSG00000000782 TCF7.0.PSM.A
Tead1 ENSMUSG00000055320 TEAD1.0.PSM.A
Tead1 ENSMUSG00000055320 TEAD1.1.P.C
Tead1 ENSMUSG00000055320 TEAD1.2.S.C
Tead2 ENSMUSG00000030796 TEAD2.0.PSM.A
Tead3 ENSMUSG00000002249 TEAD3.0.PS.A
Tead3 ENSMUSG00000002249 TEAD3.1.S.B
Tead4 ENSMUSG00000030353 TEAD4.0.PS.A
Tead4 ENSMUSG00000030353 TEAD4.1.P.B
Tef ENSMUSG00000022389 TEF.0.SM.D
Tfcp2l1 ENSMUSG00000026380 TF2L1.0.PSM.A
Tfcp2l1 ENSMUSG00000026380 TF2L1.1.P.B
Rela ENSMUSG00000024927 TF65.0.P.B
Tcf7l1 ENSMUSG00000055799 TF7L1.0.PM.A
Tcf7l1 ENSMUSG00000055799 TF7L1.1.P.C
Tcf7l1 ENSMUSG00000055799 TF7L1.2.S.C
Tcf7l2 ENSMUSG00000024985 TF7L2.0.P.B
Tfcp2 ENSMUSG00000009733 TFCP2.0.SM.D
Tfcp2 ENSMUSG00000009733 TFCP2.1.SM.D
Tfcp2 ENSMUSG00000009733 TFCP2.2.S.D
Tfdp1 ENSMUSG00000038482 TFDP1.0.P.B
Tcf3 ENSMUSG00000020167 TFE2.0.PS.A
Tfe3 ENSMUSG00000000134 TFE3.0.PSM.A
Tfeb ENSMUSG00000023990 TFEB.0.SM.B
Tfeb ENSMUSG00000023990 TFEB.1.P.C
Tfec ENSMUSG00000029553 TFEC.0.M.D
Tfec ENSMUSG00000029553 TFEC.1.SM.D
Tgif1 ENSMUSG00000047407 TGIF1.0.PSM.A
Tgif1 ENSMUSG00000047407 TGIF1.1.S.B
Tgif2 ENSMUSG00000062175 TGIF2.0.S.B
Tgif2 ENSMUSG00000062175 TGIF2.1.PSM.A
Thra ENSMUSG00000058756 THA.0.P.B
Thra ENSMUSG00000058756 THA.1.PS.A
Thra ENSMUSG00000058756 THA.2.S.B
Thap1 ENSMUSG00000037214 THAP1.0.P.B
Thrb ENSMUSG00000021779 THB.0.P.B
Thrb ENSMUSG00000021779 THB.1.PSM.A
Thrb ENSMUSG00000021779 THB.2.SM.B
Thrb ENSMUSG00000021779 THB.3.S.C
Tlx2 ENSMUSG00000068327 TLX2.0.SM.D
Tlx3 ENSMUSG00000040610 TLX3.0.SM.D
Trps1 ENSMUSG00000038679 TRPS1.0.P.B
Twist1 ENSMUSG00000035799 TWST1.0.P.B
Twist1 ENSMUSG00000035799 TWST1.1.P.B
Twist2 ENSMUSG00000007805 TWST2.0.P.B
Twist2 ENSMUSG00000007805 TWST2.1.P.B
Yy1 ENSMUSG00000021264 TYY1.0.PSM.A
Yy1 ENSMUSG00000021264 TYY1.1.S.B
Yy2 ENSMUSG00000091736 TYY2.0.PS.A
Yy2 ENSMUSG00000091736 TYY2.1.SM.B
Zbtb48 ENSMUSG00000028952 TZAP.0.P.B
Ubp1 ENSMUSG00000009741 UBIP1.0.SM.D
Uncx ENSMUSG00000029546 UNC4.0.S.D
Uncx ENSMUSG00000029546 UNC4.1.S.D
Usf1 ENSMUSG00000026641 USF1.0.PSM.A
Usf2 ENSMUSG00000058239 USF2.0.PSM.A
Vax1 ENSMUSG00000006270 VAX1.0.SM.D
Vax2 ENSMUSG00000034777 VAX2.0.SM.D
Vdr ENSMUSG00000022479 VDR.0.PS.A
Vdr ENSMUSG00000022479 VDR.1.PS.A
Vsx1 ENSMUSG00000033080 VSX1.0.SM.D
Vsx1 ENSMUSG00000033080 VSX1.1.SM.D
Vsx2 ENSMUSG00000021239 VSX2.0.PSM.A
Vsx2 ENSMUSG00000021239 VSX2.1.S.B
Wt1 ENSMUSG00000016458 WT1.0.P.B
Wt1 ENSMUSG00000016458 WT1.1.P.B
Xbp1 ENSMUSG00000020484 XBP1.0.PS.A
Xbp1 ENSMUSG00000020484 XBP1.1.M.B
Ybx1 ENSMUSG00000028639 YBOX1.0.SM.D
Zfp354a ENSMUSG00000020364 Z354A.0.P.B
Zbtb14 ENSMUSG00000049672 ZBT14.0.P.C
Zbtb14 ENSMUSG00000049672 ZBT14.1.S.B
Zbtb17 ENSMUSG00000006215 ZBT17.0.P.B
Zbtb18 ENSMUSG00000063659 ZBT18.0.PSM.A
Zbtb20 ENSMUSG00000022708 ZBT20.0.SM.D
Zbtb22 ENSMUSG00000051390 ZBT22.0.SM.D
Zbtb24 ENSMUSG00000019826 ZBT24.0.P.B
Zbtb42 ENSMUSG00000037638 ZBT42.0.P.C
Zbtb43 ENSMUSG00000026788 ZBT43.0.S.D
Zbtb44 ENSMUSG00000047412 ZBT44.0.P.C
Zbtb45 ENSMUSG00000049600 ZBT45.0.SM.D
Zbtb49 ENSMUSG00000029127 ZBT49.0.P.C
Zbtb7a ENSMUSG00000035011 ZBT7A.0.P.B
Zbtb7a ENSMUSG00000035011 ZBT7A.1.SM.B
Zbtb7b ENSMUSG00000028042 ZBT7B.0.SM.D
Zbtb7c ENSMUSG00000044646 ZBT7C.0.S.D
Zbtb6 ENSMUSG00000066798 ZBTB6.0.P.B
Zeb1 ENSMUSG00000024238 ZEB1.0.P.B
Zeb2 ENSMUSG00000026872 ZEB2.0.P.B
Zfp64 ENSMUSG00000027551 ZF64B.0.P.B
Zfp64 ENSMUSG00000027551 ZF64B.1.P.B
Zfp1 ENSMUSG00000055835 ZFP1.0.PSM.A
Zfp14 ENSMUSG00000053985 ZFP14.0.P.C
Zfp28 ENSMUSG00000062861 ZFP28.0.P.B
Zfp3 ENSMUSG00000043602 ZFP3.0.P.C
Zfp37 ENSMUSG00000028389 ZFP37.0.P.C
Zfp41 ENSMUSG00000047003 ZFP41.0.SM.D
Zfp42 ENSMUSG00000051176 ZFP42.0.PM.A
Zfp57 ENSMUSG00000036036 ZFP57.0.P.B
Zfp69 ENSMUSG00000064141 ZFP69.0.P.C
Zfp82 ENSMUSG00000098022 ZFP82.0.P.C
Zfp90 ENSMUSG00000031907 ZFP90.0.P.C
Zfp90 ENSMUSG00000031907 ZFP90.1.P.C
Zfp91 ENSMUSG00000024695 ZFP91.0.P.C
Zfx ENSMUSG00000079509 ZFX.0.P.B
Zic1 ENSMUSG00000032368 ZIC1.0.P.B
Zic1 ENSMUSG00000032368 ZIC1.1.M.B
Zic1 ENSMUSG00000032368 ZIC1.2.S.B
Zic2 ENSMUSG00000061524 ZIC2.0.P.B
Zic3 ENSMUSG00000067860 ZIC3.0.P.B
Zic3 ENSMUSG00000067860 ZIC3.1.S.B
Zic3 ENSMUSG00000067860 ZIC3.2.M.B
Zic4 ENSMUSG00000036972 ZIC4.0.SM.D
Zic5 ENSMUSG00000041703 ZIC5.0.P.B
Zic5 ENSMUSG00000041703 ZIC5.1.M.C
Zic5 ENSMUSG00000041703 ZIC5.2.S.C
Zik1 ENSMUSG00000030393 ZIK1.0.P.C
Zkscan1 ENSMUSG00000029729 ZKSC1.0.P.B
Zkscan5 ENSMUSG00000055991 ZKSC5.0.P.C
Zfp112 ENSMUSG00000052675 ZN112.0.P.C
Zfp143 ENSMUSG00000061079 ZN143.0.P.B
Zfp148 ENSMUSG00000022811 ZN148.0.P.B
Zfp184 ENSMUSG00000006720 ZN184.0.P.B
Zfp13 ENSMUSG00000062012 ZN205.0.P.C
Zfp239 ENSMUSG00000042097 ZN239.0.P.C
Zfp647 ENSMUSG00000054967 ZN250.0.P.C
Zfp647 ENSMUSG00000054967 ZN250.1.M.C
Zfp260 ENSMUSG00000049421 ZN260.0.P.C
Zfp263 ENSMUSG00000022529 ZN263.0.PM.A
Zfp263 ENSMUSG00000022529 ZN263.1.P.B
Zfp276 ENSMUSG00000001065 ZN276.0.SM.D
Zfp281 ENSMUSG00000041483 ZN281.0.P.B
Zfp281 ENSMUSG00000041483 ZN281.1.SM.B
Zfp296 ENSMUSG00000011267 ZN296.0.S.D
Zfp322a ENSMUSG00000046351 ZN322.0.P.C
Zfp329 ENSMUSG00000057894 ZN329.0.P.C
Zfp329 ENSMUSG00000057894 ZN329.1.P.C
Zfp335 ENSMUSG00000039834 ZN335.0.P.B
Zfp335 ENSMUSG00000039834 ZN335.1.P.D
Zfp382 ENSMUSG00000074220 ZN382.0.P.B
Zkscan14 ENSMUSG00000029627 ZN394.0.P.C
Zfp410 ENSMUSG00000042472 ZN410.0.SM.D
Zfp423 ENSMUSG00000045333 ZN423.0.P.C
Zfp932 ENSMUSG00000066613 ZN431.0.P.C
Zfp46 ENSMUSG00000051351 ZN436.0.P.C
Zfp467 ENSMUSG00000068551 ZN467.0.P.C
Zfp524 ENSMUSG00000051184 ZN524.0.S.D
Zfp574 ENSMUSG00000045252 ZN574.0.P.B
Zfp580 ENSMUSG00000055633 ZN580.0.SM.D
Zfp580 ENSMUSG00000055633 ZN580.1.SM.D
Zfp652 ENSMUSG00000075595 ZN652.0.PS.A
Zfp667 ENSMUSG00000054893 ZN667.0.P.C
Zfp667 ENSMUSG00000054893 ZN667.1.P.C
Zfp692 ENSMUSG00000037243 ZN692.0.P.C
Zfp740 ENSMUSG00000046897 ZN740.0.P.C
Zfp740 ENSMUSG00000046897 ZN740.1.S.C
Zfp768 ENSMUSG00000047371 ZN768.0.P.B
Zfp768 ENSMUSG00000047371 ZN768.1.P.B
Zfp770 ENSMUSG00000040321 ZN770.0.P.B
Zfp770 ENSMUSG00000040321 ZN770.1.P.B
Zfp771 ENSMUSG00000054716 ZN771.0.SM.D
Zfp784 ENSMUSG00000043290 ZN784.0.SM.D
Zfp787 ENSMUSG00000046792 ZN787.0.M.D
Zfp787 ENSMUSG00000046792 ZN787.1.S.D
Zfp879 ENSMUSG00000044296 ZN879.0.P.C
Zfp12 ENSMUSG00000029587 ZNF12.0.P.C
Zfp12 ENSMUSG00000029587 ZNF12.1.M.C
Zfp12 ENSMUSG00000029587 ZNF12.2.S.C
Zkscan6 ENSMUSG00000018347 ZNF18.0.P.B
Zfp661 ENSMUSG00000034800 ZNF2.0.P.B
Zfp24 ENSMUSG00000051469 ZNF24.0.P.B
Zfp637 ENSMUSG00000059689 ZNF32.0.SM.D
Zfp523 ENSMUSG00000024220 ZNF76.0.P.B
Zfp523 ENSMUSG00000024220 ZNF76.1.SM.B
Zfp128 ENSMUSG00000060397 ZNF8.0.P.C
Zfp128 ENSMUSG00000060397 ZNF8.1.P.B
Zscan21 ENSMUSG00000037017 ZSC21.0.P.C
Zscan4c ENSMUSG00000054272 ZSCA4.0.SM.D
Bmal1 ENSMUSG00000055116 BMAL1.0.PSM.A
Zfp316 ENSMUSG00000046658 ZN316.0.P.C
Zfp664 ENSMUSG00000079215 ZN664.0.P.C
Zfp664 ENSMUSG00000079215 ZN664.1.P.C
Zfp704 ENSMUSG00000040209 ZN704.0.SM.D
Zfp711 ENSMUSG00000025529 ZN711.0.P.C
Zfp821 ENSMUSG00000031728 ZN821.0.SM.D
