SYMBOL ENSEMBL HOCOID
Foxa3 ENSMUSG00000040891 FOXA3.0.PS.A
Foxa3 ENSMUSG00000040891 FOXA3.1.M.C
Foxb1 ENSMUSG00000059246 FOXB1.0.SM.D
Foxc1 ENSMUSG00000050295 FOXC1.0.S.D
Foxc1 ENSMUSG00000050295 FOXC1.1.S.D
Foxc2 ENSMUSG00000046714 FOXC2.0.SM.D
Foxd2 ENSMUSG00000055210 FOXD2.0.S.D
Foxd2 ENSMUSG00000055210 FOXD2.1.SM.D
Foxd3 ENSMUSG00000067261 FOXD3.0.P.C
Foxd3 ENSMUSG00000067261 FOXD3.1.S.B
Foxe1 ENSMUSG00000070990 FOXE1.0.SM.D
Foxe1 ENSMUSG00000070990 FOXE1.1.S.D
Foxf1 ENSMUSG00000042812 FOXF1.0.P.C
Foxg1 ENSMUSG00000020950 FOXG1.0.PSM.A
Foxh1 ENSMUSG00000033837 FOXH1.0.P.B
Foxi1 ENSMUSG00000047861 FOXI1.0.SM.D
Foxj2 ENSMUSG00000003154 FOXJ2.0.PSM.A
Foxj2 ENSMUSG00000003154 FOXJ2.1.SM.B
Foxj2 ENSMUSG00000003154 FOXJ2.2.S.B
Foxj3 ENSMUSG00000032998 FOXJ3.0.SM.D
Foxk1 ENSMUSG00000056493 FOXK1.0.PS.A
Foxk2 ENSMUSG00000039275 FOXK2.0.P.B
Foxl1 ENSMUSG00000097084 FOXL1.0.S.D
Foxl2 ENSMUSG00000050397 FOXL2.0.PSM.A
Foxm1 ENSMUSG00000001517 FOXM1.0.P.B
Foxo1 ENSMUSG00000044167 FOXO1.0.PS.A
Foxo3 ENSMUSG00000048756 FOXO3.0.PS.A
Foxo4 ENSMUSG00000042903 FOXO4.0.SM.D
Foxo6 ENSMUSG00000052135 FOXO6.0.S.D
Foxp1 ENSMUSG00000030067 FOXP1.0.PS.A
Foxp2 ENSMUSG00000029563 FOXP2.0.P.B
Foxp3 ENSMUSG00000039521 FOXP3.0.P.B
Foxr2 ENSMUSG00000071665 FOXR2.0.M.D
Gabpa ENSMUSG00000008976 GABPA.0.PSM.A
Gata1 ENSMUSG00000031162 GATA1.0.P.B
Gata1 ENSMUSG00000031162 GATA1.1.PSM.A
Gata2 ENSMUSG00000015053 GATA2.0.PSM.A
Gata2 ENSMUSG00000015053 GATA2.1.P.B
Gata3 ENSMUSG00000015619 GATA3.0.PS.A
Gata3 ENSMUSG00000015619 GATA3.1.SM.B
Gata4 ENSMUSG00000021944 GATA4.0.PSM.A
Gata5 ENSMUSG00000015627 GATA5.0.SM.D
Gata6 ENSMUSG00000005836 GATA6.0.PSM.A
Gbx1 ENSMUSG00000067724 GBX1.0.S.D
Gbx1 ENSMUSG00000067724 GBX1.1.S.D
Gbx2 ENSMUSG00000034486 GBX2.0.SM.D
Gbx2 ENSMUSG00000034486 GBX2.1.S.D
Gcm1 ENSMUSG00000023333 GCM1.0.S.D
Gcm2 ENSMUSG00000021362 GCM2.0.SM.D
Nr3c1 ENSMUSG00000024431 GCR.0.PS.A
Nr3c1 ENSMUSG00000024431 GCR.1.S.B
Gfi1 ENSMUSG00000029275 GFI1.0.PSM.A
Gfi1b ENSMUSG00000026815 GFI1B.0.PSM.A
Gfi1b ENSMUSG00000026815 GFI1B.1.S.C
Gli1 ENSMUSG00000025407 GLI1.0.P.C
Gli2 ENSMUSG00000048402 GLI2.0.PSM.A
Gli3 ENSMUSG00000021318 GLI3.0.PS.A
Gli3 ENSMUSG00000021318 GLI3.1.M.C
Glis1 ENSMUSG00000034762 GLIS1.0.P.B
Glis1 ENSMUSG00000034762 GLIS1.1.P.B
Glis1 ENSMUSG00000034762 GLIS1.2.SM.B
Glis2 ENSMUSG00000014303 GLIS2.0.SM.D
Glis3 ENSMUSG00000052942 GLIS3.0.P.C
Glis3 ENSMUSG00000052942 GLIS3.1.S.C
Gmeb1 ENSMUSG00000028901 GMEB1.0.P.C
Gmeb1 ENSMUSG00000028901 GMEB1.1.P.C
Gmeb1 ENSMUSG00000028901 GMEB1.2.SM.B
Gmeb2 ENSMUSG00000038705 GMEB2.0.P.C
Gmeb2 ENSMUSG00000038705 GMEB2.1.P.C
Gmeb2 ENSMUSG00000038705 GMEB2.2.SM.B
Grhl1 ENSMUSG00000020656 GRHL1.0.PSM.A
Grhl1 ENSMUSG00000020656 GRHL1.1.PS.A
Grhl2 ENSMUSG00000022286 GRHL2.0.P.B
Grhl2 ENSMUSG00000022286 GRHL2.1.P.B
